Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays
0,0.12,150,100000
1,0.14,40,100000.0
2,0.14,41,100000.0
3,0.14,42,100000.0
4,0.14,43,100000.0
5,0.14,44,100000.0
6,0.14,45,100000.0
7,0.14,46,100000.0
8,0.14,47,100000.0
9,0.14,48,100000.0
10,0.14,49,100000.0
11,0.14,50,100000.0
12,0.14,51,100000.0
13,0.14,52,100000.0
14,0.14,53,100000.0
15,0.14,54,100000.0
16,0.14,55,100000.0
17,0.14,56,100000.0
18,0.14,57,100000.0
19,0.14,58,100000.0
20,0.14,59,100000.0
21,0.14,60,100000.0
22,0.14,61,100000.0
23,0.14,62,100000.0
24,0.14,63,100000.0
25,0.14,64,100000.0
26,0.14,65,100000.0
27,0.14,66,100000.0
28,0.14,67,100000.0
29,0.14,68,100000.0
30,0.14,69,100000.0
31,0.14,70,100000.0
32,0.14,71,100000.0
33,0.14,72,100000.0
34,0.14,73,100000.0
35,0.14,74,100000.0
36,0.14,75,100000.0
37,0.14,76,100000.0
38,0.14,77,100000.0
39,0.14,78,100000.0
40,0.14,79,100000.0
41,0.14,80,100000.0
42,0.14,81,100000.0
43,0.14,82,100000.0
44,0.14,83,100000.0
45,0.14,84,100000.0
46,0.14,85,100000.0
47,0.14,86,100000.0
48,0.14,87,100000.0
49,0.14,88,100000.0
50,0.14,89,100000.0
51,0.14,90,100000.0
52,0.14,91,100000.0
53,0.14,92,100000.0
54,0.14,93,100000.0
55,0.14,94,100000.0
56,0.14,95,100000.0
57,0.14,96,100000.0
58,0.14,97,100000.0
59,0.14,98,100000.0
60,0.14,99,100000.0
61,0.14,100,100000.0
62,0.14,101,100000.0
63,0.14,102,100000.0
64,0.14,103,100000.0
65,0.14,104,100000.0
66,0.14,105,100000.0
67,0.14,106,100000.0
68,0.14,107,100000.0
69,0.14,108,100000.0
70,0.14,109,100000.0
71,0.14,110,100000.0
72,0.14,111,100000.0
73,0.14,112,100000.0
74,0.14,113,100000.0
75,0.14,114,100000.0
76,0.14,115,100000.0
77,0.14,116,100000.0
78,0.14,117,100000.0
79,0.14,118,100000.0
80,0.14,119,100000.0
81,0.14,120,100000.0
82,0.14,121,100000.0
83,0.14,122,100000.0
84,0.14,123,100000.0
85,0.14,124,100000.0
86,0.14,125,100000.0
87,0.14,126,100000.0
88,0.14,127,100000.0
89,0.14,128,100000.0
90,0.14,129,100000.0
91,0.14,130,100000.0
92,0.14,131,100000.0
93,0.14,132,100000.0
94,0.14,133,100000.0
95,0.14,134,100000.0
96,0.14,135,100000.0
97,0.14,136,100000.0
98,0.14,137,100000.0
99,0.14,138,100000.0
100,0.14,139,100000.0
101,0.14,140,100000.0
102,0.14,141,100000.0
103,0.14,142,100000.0
104,0.14,143,100000.0
105,0.14,144,100000.0
106,0.14,145,100000.0
107,0.14,146,100000.0
108,0.14,147,100000.0
109,0.14,148,100000.0
110,0.14,149,100000.0
111,0.14,150,100000.0
112,0.14,151,100000.0
113,0.14,152,100000.0
114,0.14,153,100000.0
115,0.14,154,100000.0
116,0.14,155,100000.0
117,0.14,156,100000.0
118,0.14,157,100000.0
119,0.14,158,100000.0
120,0.14,159,100000.0
121,0.14,160,100000.0
122,0.14,161,100000.0
123,0.14,162,100000.0
124,0.14,163,100000.0
125,0.14,164,100000.0
126,0.14,165,100000.0
127,0.14,166,100000.0
128,0.14,167,100000.0
129,0.14,168,100000.0
130,0.14,169,100000.0
131,0.14,170,100000.0
132,0.14,171,100000.0
133,0.14,172,100000.0
134,0.14,173,100000.0
135,0.14,174,100000.0
136,0.14,175,100000.0
137,0.14,176,100000.0
138,0.14,177,100000.0
139,0.14,178,100000.0
140,0.14,179,100000.0
141,0.14,180,100000.0
142,0.14,181,100000.0
143,0.14,182,100000.0
144,0.14,183,100000.0
145,0.14,184,100000.0
146,0.14,185,100000.0
147,0.14,186,100000.0
148,0.14,187,100000.0
149,0.14,188,100000.0
150,0.14,189,100000.0
151,0.14,190,100000.0
152,0.14,191,100000.0
153,0.14,192,100000.0
154,0.14,193,100000.0
155,0.14,194,100000.0
156,0.14,195,100000.0
157,0.14,196,100000.0
158,0.14,197,100000.0
159,0.14,198,100000.0
